node,id,radius_mean,texture_mean,perimeter_mean,area_mean,smoothness_mean,compactness_mean,concavity_mean,concave points_mean,symmetry_mean,fractal_dimension_mean,radius_se,texture_se,perimeter_se,area_se,smoothness_se,compactness_se,concavity_se,concave points_se,symmetry_se,fractal_dimension_se,radius_worst,texture_worst,perimeter_worst,area_worst,smoothness_worst,compactness_worst,concavity_worst,concave points_worst,symmetry_worst,fractal_dimension_worst
421,0.001281286549707602,5.204678362573111e-05,9.94152046783646e-06,3.976608187134519e-05,0.00011052631578947385,5.4970760233917916e-05,5.847953216373625e-07,4.093567251462187e-06,9.356725146199098e-06,1.4035087719297999e-05,5.847953216373625e-07,0.00016023391812865486,0.00010000000000000002,6.257309941520494e-05,0.00045964912280701756,4.6783625730994196e-05,1.7543859649120874e-06,0.00024385964912280677,7.660818713450293e-05,4.4444444444444745e-05,0.00018947368421052622,5.614035087719329e-05,3.508771929824824e-06,4.327485380116937e-05,0.00016959064327485396,4.912280701754364e-05,1.228070175438591e-05,2.5730994152046546e-05,9.356725146199098e-06,0.00011695906432748548,6.959064327485393e-05
47,0.001252713721362229,6.872362813897515e-05,8.77769005847954e-05,6.631314619883028e-05,0.00013104501307189534,6.170987272101827e-06,2.2225649122807167e-05,9.965559339525489e-06,4.148568283453932e-06,8.85436532507708e-06,1.6377699346405374e-05,0.00045350117784657734,0.00016899234674922628,0.00047402247334021305,0.0007602481403508774,0.00027511606467148285,0.00016258313243894075,0.0005931021658066733,0.00023435073959408344,0.000163412038527692,0.000523821927760578,6.406932782937748e-05,3.5693028551771555e-05,6.750309253525945e-05,0.00017816034743722048,2.88957688338492e-07,4.1657561059513505e-06,1.905699346405034e-06,5.5039559683524106e-08,4.19635362917123e-06,1.5788654970758953e-06
292,0.0012777947943555916,6.561717479046557e-05,4.326370950880638e-05,6.26079688844323e-05,0.00012654126072944867,6.702243625510327e-05,4.867184427776928e-05,3.4585481609789364e-05,2.6395018631835123e-05,7.615658947018323e-05,4.863752823165533e-05,0.00033558377776132434,0.0001009763954568264,0.00029190508922860754,0.0007086765097603328,0.00010771661054943895,0.00016995009731682697,0.000619044222817847,0.0002619894842316953,4.800217179432633e-05,0.00031919162807680755,5.450398941601635e-05,8.418651112520232e-06,5.620332724894789e-05,0.00016515244490766646,2.19270189279908e-05,7.553423549134891e-05,4.2266727301678164e-05,9.996791584484097e-06,4.164350773057488e-05,4.4275208003909885e-05
186,0.0012755984768372856,3.4421245920100046e-06,8.561860001671419e-05,3.922447213717902e-06,7.439987850306075e-06,4.987524817350692e-05,4.895915301568752e-05,2.6603402938658936e-05,1.1932133538881865e-05,4.1519819725472824e-05,9.745959905232214e-06,0.00042335008759759196,2.0895684706023944e-05,0.0004554090694874149,0.000731648760480146,3.527856388579704e-05,6.687421677688001e-05,0.0005090588438180195,0.00012321019515133813,2.4315212813618023e-05,0.0001772799271735228,3.957234036253548e-06,4.355471956063213e-05,6.250796380554099e-06,1.706264961588085e-05,3.9599650074033935e-05,6.019004594451425e-05,1.7956839759918618e-05,1.8692214532911574e-06,7.638690643545626e-05,8.897603374193107e-05
414,0.0012746124782858424,4.029775195910353e-05,1.348077784507031e-06,4.370505233604633e-05,7.938697603859603e-05,3.321539599279806e-05,9.488687701529445e-06,3.202474239538571e-05,2.4868259685633836e-05,7.392584086173156e-05,4.541471073194472e-06,0.0002767890992469751,6.135531625265759e-05,0.00036039254528163654,0.0005237821618337139,0.0002564371025987346,0.00012923324568365262,0.0006110625605893154,0.00023379664662331951,1.0429140611558395e-05,0.00032783428710804106,4.023167182593162e-05,5.427589097414562e-07,5.189422522677245e-05,0.00012178678592609581,1.878492333258052e-05,1.9032760376415142e-05,3.385210813108849e-05,4.219541899635606e-06,6.923791687659474e-05,2.4017311567054187e-05
132,0.00021740361713871713,1.8321854467430435e-05,3.643578084085166e-05,1.707174342909632e-05,4.303381280342782e-05,6.498654476254688e-05,1.7731812239028735e-05,1.701360935136138e-05,1.2737699241926988e-05,6.544227025971339e-06,6.713682093567563e-05,0.00032917151009564976,0.00021252913997569421,0.00039979658002534243,0.00054531543581225,0.00019305031292287696,0.00016506360727085566,0.0006073664972572131,0.00023690243257397243,0.00011630864800758033,0.00048384516183247494,1.240847123074671e-05,8.147657885909966e-06,1.3616464643435808e-05,4.887010800580381e-05,4.228646169880761e-05,3.1425616581459404e-05,2.879236931633747e-05,5.414503380403734e-06,2.6973512969916955e-05,0.00015395580562966788
161,0.0011678324582102746,2.062442810087065e-06,4.367093025122347e-05,1.9738627589435207e-06,4.1313856406811275e-06,5.485276632554702e-05,2.5440158099798194e-05,1.0684503554642158e-05,1.119899184988247e-06,7.615876615416013e-05,2.636586882578642e-06,1.3571767081169672e-05,5.306147154386182e-05,1.5149384322425836e-05,3.7408824291039984e-05,7.382737622490702e-05,8.948263420561719e-05,0.0003944211702383306,6.978759829616756e-06,1.0611163487369434e-05,0.0005483993784416355,3.1290061073087446e-06,2.934351409725795e-06,3.175057557905188e-06,1.1763777160026865e-05,1.4475681460898864e-05,7.312694690173692e-05,4.007543170418989e-05,7.690738832448754e-07,5.1104699453563446e-05,2.8013686655792668e-05
197,0.0012838010001914105,3.8289562768636554e-06,3.0489246361240103e-05,4.324518093605672e-06,8.248047924530422e-06,5.493468462680429e-06,4.722821733916586e-05,1.3673114121886834e-05,1.1067326247270838e-05,7.778643816549837e-05,5.576186145822011e-06,8.368709134372038e-05,0.00019830500882215247,0.00011794878843735192,0.0001628837901730945,0.0002594647135202162,6.46190055274866e-06,0.00015953237421814217,0.00013084906958959038,0.0001468750184425133,0.0002662254307824191,1.0163950614349184e-05,3.8621010125192685e-05,1.3718134821954316e-05,3.8132130099221225e-05,1.1160192452678246e-06,7.181346981139999e-05,3.62253907902724e-05,9.54540923405765e-06,3.6799588614360755e-05,4.6889317017126124e-05
245,0.0012824652156874451,1.1452808571076357e-05,7.159684041033342e-05,1.136686614624195e-05,4.336809412018594e-05,3.417222526946634e-05,2.2959843295629343e-05,3.188269950951018e-05,2.5753460070022764e-05,7.299633099318485e-05,5.589474450142818e-05,0.00042032107435794003,5.512170279088495e-06,0.00046817015506918987,0.0007754276933621399,7.5123013989592236e-06,0.00012628722745505877,0.0005828388573089313,0.0002671258024471377,5.731027337160829e-06,0.0005284294076035301,1.3149460980748708e-05,2.1899810102719737e-05,1.4386761281379816e-05,7.751603333318527e-05,1.5739941865066425e-05,2.0805234858453582e-05,2.2414491555222266e-05,4.925711794343765e-06,0.00011710623599809479,0.00015823363245141104
453,0.001281181774762711,5.478651280832838e-05,1.2409631739134037e-05,5.236209964821295e-05,0.00011435418395909954,2.1521414853432788e-05,4.414838931308001e-05,2.9739717969542334e-05,7.2007585121598055e-06,5.006051688788465e-05,8.722391031840926e-05,0.0004635648789253695,8.733989430649012e-05,0.000498828354720608,0.00076562910990137,0.0002896497300443741,0.00010777056077274591,0.0005453369942119107,0.0002628630346732381,0.00013200812204317014,0.0005244120905543783,6.292500057867296e-05,2.154816957134874e-06,6.650779721248994e-05,0.00018024108464964448,4.799389164607498e-05,4.60698743102239e-05,2.7229512974335965e-05,9.049465782641573e-06,8.216231048953991e-05,0.00015859997917675088
