node,id,radius_mean,texture_mean,perimeter_mean,area_mean,smoothness_mean,compactness_mean,concavity_mean,concave points_mean,symmetry_mean,fractal_dimension_mean,radius_se,texture_se,perimeter_se,area_se,smoothness_se,compactness_se,concavity_se,concave points_se,symmetry_se,fractal_dimension_se,radius_worst,texture_worst,perimeter_worst,area_worst,smoothness_worst,compactness_worst,concavity_worst,concave points_worst,symmetry_worst,fractal_dimension_worst
421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,3.6836692978880117e-07,1.7633820747026836e-06,1.358268744711179e-06,1.8462446999446025e-06,1.6390892039919607e-06,3.2919108761381475e-06,2.8267702651361214e-06,4.469857717895525e-06,5.7769194035269814e-06,2.8452956413023593e-06,2.389485751383512e-06,1.2753994668005123e-06,1.1833236847398182e-06,6.998832136547221e-07,5.571483827570519e-07,1.109660080401044e-06,1.3996996487220563e-06,1.4687589122900498e-06,1.3352495004590698e-06,1.2063417265867564e-06,1.1188675990758267e-06,1.9475205669917352e-06,2.2329939116921048e-06,1.9843514007595873e-06,1.606866358612035e-06,9.39177602857091e-06,9.899938754837437e-06,8.220371400527358e-06,3.5304560802310575e-05,3.324127163215073e-06,8.970519434752667e-06
292,0.00332174291018587,0.0034162961036052313,0.003368601231121359,0.0034206378308080363,0.0034012682207443666,0.003365674483545802,0.003407539064348214,0.0034352762819545146,0.0034510484097519294,0.003371546893588561,0.00336232814033802,0.0033579515716003617,0.0033444549645891028,0.0033570850971669595,0.0033458596212761916,0.0033441527338744833,0.003359712958478963,0.0033354072356815427,0.0033577899222829205,0.003352725334401605,0.0033335448547358875,0.003424394627731999,0.003376072584337811,0.003425294600119605,0.0033943589756474284,0.003371849152637832,0.0033962643094362956,0.0034142315876033416,0.003474845618281879,0.003364724659576396,0.0033597267947034493
186,9.59018696222718e-07,1.0589732349124272e-05,2.554106781222352e-06,1.0089130544208411e-05,7.526201680104004e-06,2.165817524011101e-06,2.8673134246124057e-06,4.536679142634812e-06,6.43978464659442e-06,2.2967719424516886e-06,3.597048815813838e-06,1.295803809533209e-06,3.5411892408574477e-06,1.3004828890190557e-06,1.15547891776845e-06,2.8816360225572444e-06,2.0301880090179144e-06,1.49225669554791e-06,1.9413294799061222e-06,2.9798349483111914e-06,1.7215078022505842e-06,1.0177871372089304e-05,3.4334097883468443e-06,9.041266260106296e-06,5.730081165054913e-06,3.0638176085733775e-06,8.287326525093133e-06,6.565796693758156e-06,1.3990634521645724e-05,2.7785719201944023e-06,6.753658428391605e-06
414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,1.8443317744312923e-07,1.3674003215914787e-06,4.0034869683575104e-07,1.40787736251772e-06,6.657366892482933e-07,5.66779365395149e-07,9.266148158587679e-07,1.569778103131338e-06,1.6957052539641228e-06,1.1560155076997408e-06,8.141677624234484e-07,3.778579968217926e-07,2.9239183477668927e-07,3.5086885639791696e-07,2.8789367624074726e-07,2.8339536390756936e-07,4.813149937992784e-07,6.252601314192794e-07,3.9135222105470364e-07,3.373740340933337e-07,2.9239165942202085e-07,1.4528517627166051e-06,1.0840529658194187e-06,1.416872605250264e-06,5.937680904630497e-07,7.422012939501293e-07,6.261189382994538e-06,2.6447038079842233e-06,2.244353937501834e-06,5.622806190238814e-07,4.943388933701735e-06
161,9.75130887328293e-06,6.654336739724298e-05,1.775747404750921e-05,6.820480160278303e-05,5.141125572999992e-05,1.6693338267310644e-05,2.558074264552195e-05,3.5642432360497145e-05,8.570035938961327e-05,1.7994540704593808e-05,2.826872047003497e-05,3.8844712270975297e-05,1.8307624457818313e-05,3.365169404311045e-05,2.369744977608739e-05,1.693003165459254e-05,1.798262573773203e-05,1.3335748788616957e-05,6.966307833271454e-05,2.2320476156861488e-05,1.1977801237134051e-05,5.894260445761212e-05,2.5292474492566428e-05,5.612410620532501e-05,3.55083365717556e-05,2.0375055600424073e-05,2.3549966891300014e-05,2.347517520671129e-05,9.433352547135846e-05,1.5510823003668558e-05,2.1155056577134352e-05
197,3.712904768506171e-07,5.285432081017284e-06,1.9537644659609025e-06,5.368902163246757e-06,3.4061622901256987e-06,2.148631906569595e-06,2.2645731357866403e-06,3.920801991162948e-06,4.069229146590312e-06,1.6985026987048989e-06,2.408446131179014e-06,1.2855206725691935e-06,1.1927142034094318e-06,1.2901626201876505e-06,1.1463093599364463e-06,1.1184660257533696e-06,4.334370826131072e-06,1.4804145633725802e-06,1.3458456589948556e-06,1.2159149098598844e-06,1.1277466126656355e-06,3.7169480032758377e-06,1.666025353338832e-06,3.1694062008193237e-06,2.204309819950478e-06,3.6195372324114884e-06,7.642112334441481e-06,4.194520059114447e-06,4.022834557393649e-06,1.5964161237234434e-06,6.120462819054273e-06
245,0.003346167490407825,0.0034414159278964465,0.003393370357820781,0.003445789579563978,0.003426277545896899,0.0033904220900424623,0.003432594498644892,0.003460535666380651,0.003476423765705988,0.00339633767957083,0.003387051141369918,0.003382642391979776,0.0033690465452110812,0.003381769546410834,0.0033704615302561636,0.0033687420922117956,0.0033844167302324846,0.0033599322888850833,0.0033824795540644127,0.0033773777265663227,0.0033580562139618867,0.0034495739999947346,0.003400896647457942,0.0034504805898263663,0.0034193174975271886,0.0033966421611131103,0.003421236841123327,0.003439336231629837,0.003500395953710422,0.0033894652820732813,0.003384430668193916
453,0.0004769301902042992,0.0006950057937597261,0.0007649885205438884,0.000719017990041896,0.0006914395985567334,0.0005487299873222029,0.0007601094132183284,0.0008843734014380176,0.0007191760361803675,0.0006851373543584572,0.0005887182406450256,0.0006006233123750617,0.0005716318112096211,0.0005952997967488595,0.0005621918339661695,0.0005235770057604121,0.0006411386924295757,0.0005374576919466507,0.0005578426140592166,0.0005811627980257117,0.0004923890907931733,0.0007748893751059402,0.0008837138516772387,0.0007854893734277615,0.0007147938647954472,0.0005820782718218172,0.0007899124041701103,0.0008899592565383841,0.0009448247363290761,0.0006459015722896448,0.0005923168141636193
411,0.0033711388895899734,0.003467098136313584,0.0034186940172075036,0.003471504427172664,0.0034518467813140397,0.003415723747430839,0.003458210875500451,0.0034863605594133425,0.0035023672266440925,0.0034216834831497164,0.003412327642424917,0.0034078859919199236,0.003394188683608179,0.003407006632578079,0.00339561422824315,0.003393881958571585,0.0034096735715028765,0.0033850064104439274,0.0034077219387962363,0.003402582037958609,0.003383116334961602,0.003475317089546934,0.00342627647318524,0.0034762304449743246,0.0034448347922848544,0.0034219902369423127,0.0034467684593406656,0.003465002919925582,0.003526518311573933,0.003414759799103679,0.003409687613478945
214,9.66751944564275e-07,3.0743740929775194e-06,4.913551300438336e-06,3.1545092467609497e-06,2.324712012710248e-06,2.183280301111958e-06,5.22892510746754e-06,5.74228098934327e-06,7.076184084520714e-06,7.577417150870919e-06,2.456712503215045e-06,1.8909759639268835e-06,2.985002225917173e-06,1.8956923024230664e-06,1.1647963642997135e-06,2.904865727139085e-06,3.2159724333388255e-06,2.0889931832966248e-06,3.1264153650871e-06,1.4113703986243813e-05,1.7353881530626013e-06,3.244072160750947e-06,9.307918362664412e-06,3.852289357682931e-06,2.268141861524224e-06,5.42716587606325e-06,1.244268349323327e-05,7.203145854558272e-06,2.286981386393364e-05,2.2095763876178207e-05,8.560806592689144e-06
283,0.00019942437099073997,0.0003832638032225926,0.00027408192340504776,0.0004086048609758852,0.00032698607217661156,0.0003216331103722839,0.0005765733352004298,0.0006440085494182222,0.0005942816450093516,0.0002821064303251228,0.00029634950081186345,0.00021545764852486286,0.00025582773368947596,0.00022291630148738283,0.0002083616490468014,0.00026452765881066447,0.00030517885449279946,0.00022980943101501465,0.00025422464798194333,0.0002630023814999892,0.00022570361461499912,0.0003775452276347179,0.00029442795083180277,0.00039635738521515113,0.00029932989494383544,0.0002953489929426255,0.0005155029505434117,0.0005026438072335913,0.0006475127957065633,0.00024362387841255281,0.00035559927929526043
107,0.002384910697753597,0.002638082237077849,0.0024709245899060903,0.002651798507556888,0.0026087204385594623,0.0025308093460782908,0.002637230413332729,0.002720993306994564,0.0027551843768075313,0.002546381032910716,0.002474209679964104,0.002530181907588489,0.0024408237746560667,0.002523945088884068,0.0024781717996657207,0.002468072541789727,0.0025085963346197686,0.0024387302028433546,0.002528172682592099,0.0024854007056398825,0.0024414270402883355,0.0026703860137927125,0.0024606026026250056,0.002672927981151734,0.00259956219752083,0.0025437388667560617,0.0025492170125351243,0.0026066970647862903,0.00275728858078635,0.002477567088270967,0.0024831225001294343
542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
518,6.5118063138673215e-06,2.8437737304210326e-05,1.2491309537079866e-05,2.8463990985834444e-05,2.6024288016581752e-05,1.7248416408034517e-05,1.518126492368654e-05,4.527783396632987e-05,2.5651569789688795e-05,1.612711797199656e-05,2.5623390484164668e-05,9.545489498981378e-06,8.916810448885295e-06,9.527930274141327e-06,9.484031860949838e-06,8.90363956572561e-06,1.022244185406674e-05,9.830828164161566e-06,9.593777241706188e-06,1.0697486521477093e-05,7.760422181456356e-06,2.8490244672329746e-05,1.547219047703105e-05,2.729885616559848e-05,2.1315494493087294e-05,1.097837317550411e-05,1.927132168273426e-05,4.185772474818113e-05,4.0299283029293715e-05,1.6694340998584048e-05,1.571894615776827e-05
324,0.0033966778205717155,0.0034933640312856565,0.0034445932143075605,0.0034978037031360935,0.0034779971357179343,0.0034416004424871333,0.003484409442739091,0.0035127723818331406,0.0035289003116944265,0.0034476053277190328,0.0034381786094129846,0.003433703310040529,0.0034199022342415743,0.0034328172888854888,0.003421338578457113,0.0034195931855304606,0.00343550443189305,0.0034106503984018357,0.0034335380140901473,0.0034283591746098103,0.0034087460041658567,0.003501645249316229,0.003452233113133613,0.0035025655241029178,0.0034709320255597396,0.0034479144054039967,0.0034728803416083976,0.0034912529420462303,0.0035532343593888873,0.003440629191521131,0.003435518580247725
488,0.0023945909450441114,0.0026716413302979073,0.0025263111416508627,0.002679365576917233,0.002634008789277883,0.002471378632157162,0.002601241259252414,0.002708419159730296,0.002729225641425049,0.0025030540475160915,0.002493686596114537,0.002482115115207641,0.002444059370510106,0.0024824888727995012,0.002466490373821712,0.00245584656941664,0.0025081793658371086,0.00243746102721864,0.0024645929036255084,0.002479881105189312,0.002415125467916699,0.0026832345254402786,0.002543519770997295,0.0026830519009631605,0.002611083576758328,0.002480616638036592,0.002592522412485385,0.002641312333563811,0.0027403058043585725,0.0025003674938575996,0.0024694604573996144
376,5.847953216373625e-07,7.646952855937275e-06,5.969773309493831e-07,7.066218176947779e-06,4.117916631181688e-06,1.1777111733261534e-06,1.1939522009203042e-06,1.8071639680594257e-06,1.827463089417303e-06,1.1817714342819082e-06,1.9358960553796256e-05,1.7584458252109824e-06,5.88855994151982e-07,5.847953216373625e-07,5.847953216373625e-07,5.847953216373625e-07,7.037824875400531e-06,4.410109649123007e-06,3.5168892137754403e-06,5.88855994151982e-07,4.097625487329633e-06,1.0574960875129554e-05,1.7787450916273327e-06,7.054049628682077e-06,3.5290651150916117e-06,2.375716284522513e-06,1.1939522009203042e-06,1.3929039699860289e-06,1.31169886615702e-06,1.2345547971115198e-06,1.7706253923727648e-06
