node,checking account status,Duration in month,Credit history,Purpose,Credit amount,Savings account/bonds,employment, Installment,status n sex, Other debtors / guarantors,residence,Property,Age in years,Other installment plans,Housing,existing credits no.,Job,liability responsibles,Telephone,foreign worker
507,0.0002074633037112007,0.0002449900001111088,0.00018693231076321172,0.00021068904206889764,0.00023642785991984978,0.00019536974944144784,0.00029165089004146643,0.0006477081196808625,0.00022313295786912665,0.00011833893688092866,0.00022887653335281735,0.0003016047745994234,0.0001778905945695512,0.0002840243528780539,0.0002069952988077214,0.00014169110141963584,0.0002738429085448339,0.0007411941310297,0.0005372272357961658,0.00011995514075995095
818,0.00020274989305417004,0.00010525642049839932,9.836519205866556e-05,0.00012351962891312781,0.0001247654067400578,0.00013044227341005643,0.000124500491095624,0.00012135675669294148,0.00010262942026077774,8.925256940114831e-05,0.00012859872950054163,0.0001254423952969679,9.390603848094572e-05,0.00013506482894621772,0.00010641396593748452,8.2214171478921e-05,9.90022766438332e-05,9.876754139270034e-05,0.0001428119647721312,7.011341344864054e-05
452,0.0015346765290148122,0.0010930765304875863,0.0010259012335713247,0.0010794064788278096,0.0010287456775484025,0.0009292103511188308,0.001151301011649852,0.0012421138404512897,0.0009791894398809443,0.0008463596719559722,0.0010239140350726422,0.0010973048073193846,0.0009669836366035726,0.0012070810461802825,0.0010314297955399847,0.0009995896972435096,0.000939541851690936,0.0008315333856645309,0.0010339243278758895,0.0008287401751516953
368,2.2263676582660045e-06,1.1555398865170813e-07,2.992490839769372e-07,3.9998909464663503e-07,1.1110960351621781e-07,8.725294209238852e-07,2.1332795872355224e-07,3.081365283203486e-07,1.0518381821741704e-07,1.807387447696887e-07,6.103309866895474e-07,5.895941617160421e-07,7.555486710474707e-08,7.125401445023618e-07,1.7333023803596544e-07,7.555485040735485e-08,1.2444253402663646e-07,9.421497517952695e-07,5.081157770778735e-07,1.1288628529463203e-06
242,2.9105029676676566e-05,3.474315649103335e-06,4.201652122560103e-06,6.341329170249803e-06,3.369933677682588e-06,1.1578104896781751e-05,5.059612602399125e-06,5.5913898497216605e-06,3.873617432760454e-06,1.6281658960431084e-06,6.657443581510501e-06,6.233648539214697e-06,2.6789707983070743e-06,7.049748768628043e-06,4.418623419040815e-06,2.6574441291709186e-06,3.4991784524314973e-06,9.769410075891017e-06,9.679119585907777e-06,2.5216873685722227e-06
929,9.207131792876553e-05,2.649392574404269e-05,2.4171912659675545e-05,3.823269980412187e-05,2.5939137003183785e-05,4.79608770525197e-05,3.670810799624841e-05,3.974152122907252e-05,2.6505159623717847e-05,1.782638763037425e-05,3.336899684848331e-05,3.675707730450618e-05,2.1647672156290528e-05,3.892480967005285e-05,2.7605169567837935e-05,2.0013111667288558e-05,2.605583574937676e-05,6.0713164556642956e-05,4.4838317240503276e-05,1.4348657954528478e-05
262,2.1615241896865483e-05,4.5015031107807894e-05,0.00012595877087259147,3.6921436702498064e-05,4.323053660928579e-05,1.5357921467589558e-05,0.00012752545150249763,0.000117201355405232,4.0810688768648145e-05,1.7064262513919353e-05,4.672403728600811e-05,4.711005747163748e-05,3.1773142998820144e-05,5.108006460731274e-05,8.456784964259873e-05,0.00011743797535887862,6.43729843170039e-05,2.6498280751428923e-05,0.00018426904869082018,1.8243082684319387e-05
810,4.915766946587847e-07,9.80391166250418e-09,1.540614442527159e-08,3.78149735243615e-08,7.0027964567571734e-09,3.4033599323062543e-07,2.9411712815993967e-08,1.204465647156589e-07,1.120446727000783e-08,1.4845858764357458e-07,7.983123245845882e-08,5.882314583087593e-08,4.201679505134924e-09,1.4425650299822276e-07,3.221278724054352e-08,8.403353750806296e-09,1.540613800997857e-08,3.0812280208366493e-08,9.803811366718323e-08,6.16244714803465e-08
318,0.001759686721117116,0.0014207092194210428,0.0015337142078205679,0.0015325225296188058,0.0013759370686535976,0.0012631731323348749,0.0013266435568150218,0.0012684920582675925,0.0013115543412411555,0.0011954201307363707,0.001447592422277111,0.0013452134218656711,0.0013120502436971947,0.001551821038060914,0.0013800681156541147,0.001322371809603187,0.0012920905355223457,0.0012051139755994234,0.0014130936577002218,0.0011803115038420706
49,0.0005755181050660535,2.378191242537095e-05,1.0299683262335395e-05,1.906619148825718e-05,1.7444358612596823e-05,1.5205989348927567e-05,1.0213637474735102e-05,9.975281219288808e-06,1.6438469020562555e-05,3.4846324206445203e-05,2.360882559441217e-05,9.124278439040063e-05,8.74236151265482e-06,1.871185623320282e-05,1.1173529490430033e-05,1.0742315960636967e-05,1.2124548087961907e-05,7.611795856873292e-06,2.583983856486796e-05,6.465421508716795e-06
446,1.20862566014638e-05,1.5806197706138673e-06,2.2882191058048568e-06,3.1273588005885485e-06,1.4520989216415587e-06,2.1058519696668785e-06,2.5388704517717326e-06,3.872820480179701e-06,1.3521365342258415e-06,8.157867625204177e-07,2.982970979093286e-06,3.038485971763264e-06,1.2680511171130139e-06,3.706156066122297e-06,2.0105900500178618e-06,1.3585120729622817e-06,1.7059716328329807e-06,3.984029736697029e-06,3.982077579940545e-06,1.6712095284899074e-06
