node,checking account status,Duration in month,Credit history,Purpose,Credit amount,Savings account/bonds,employment, Installment,status n sex, Other debtors / guarantors,residence,Property,Age in years,Other installment plans,Housing,existing credits no.,Job,liability responsibles,Telephone,foreign worker
507,9.271149833860007e-06,0.00010812463378583448,5.052229534434864e-06,5.566816865041179e-06,3.0474450451562515e-05,8.622792468452789e-06,2.7935554422842767e-06,6.528421204423316e-06,5.733044304420748e-05,6.610605393331901e-05,2.3987488053741466e-05,3.285895976609114e-05,4.50935936353045e-05,0.00011475628082575594,0.00010434482568096044,3.940146412703545e-05,1.1913351756693205e-05,2.4580312986491888e-06,5.334775859639409e-06,5.3798926801089056e-05
818,1.0661765735800133e-06,8.149197808511146e-07,3.1935873674676615e-07,1.95457516797089e-07,7.206979309701364e-07,3.14134847121935e-08,1.0994602839671482e-07,9.249448360186218e-08,3.3855385932664803e-07,6.055352129609532e-07,1.2390723896559793e-07,1.4135866463839922e-07,2.72241298382274e-07,5.182886539195014e-07,8.149198401916951e-07,2.513004119810344e-07,2.687512656336246e-07,2.338494680863853e-07,4.537494234616124e-08,5.270128101007151e-07
452,0.0012803045181213068,0.0014104266875913556,0.00043477456594460663,0.0009804845230604517,0.0013532043327659188,0.0005946938549050354,0.0008909922726451816,0.0006724763877096467,0.0013604298360945049,0.0014022997835545293,0.0005528479272607481,0.0008322497800924028,0.0010775730970463175,0.0015826200046753203,0.0015808620786798306,0.001118774579480421,0.0013463644586997378,0.0012611406101448604,0.0006328857379262846,0.0014816895843559456
368,6.814761983552168e-08,3.555538481966539e-08,5.9259220965532794e-09,1.4814814814813183e-09,2.6666570557958795e-08,0.0,0.0,0.0,1.3333310606141246e-08,1.7777735276931632e-08,0.0,8.888879130355476e-09,4.444442514865493e-09,1.0370356749356703e-08,3.111098139781082e-08,2.9629623243930324e-09,2.9629623188402534e-09,7.407400929249554e-09,0.0,2.074068232296657e-08
242,2.7066710939543575e-05,3.329721137561203e-05,1.9407237587148017e-05,8.597617380109132e-06,3.453775753954969e-05,3.5420150351969383e-06,8.599813797080063e-06,5.091029698892627e-06,1.9263693706562146e-05,3.0048482477323723e-05,6.235868249488785e-06,1.149967149194653e-05,1.729238329316934e-05,4.444201651832993e-05,4.0234074921143604e-05,1.8146527109973578e-05,1.604295644163978e-05,2.2652954689661465e-05,3.1712006021425765e-06,2.565957727054518e-05
929,1.1317686243424249e-07,6.976679943288534e-08,1.395346389186977e-08,6.201546847607896e-09,5.8914265196928625e-08,4.651160643966449e-09,1.5503875968990539e-09,4.651160660384001e-09,2.790687419190847e-08,3.875948842784903e-08,6.201546103967936e-09,1.705422635101546e-08,1.3953463683005778e-08,2.790687376881538e-08,6.666607241686844e-08,1.2403081012226973e-08,9.302317122358516e-09,2.0154986547400266e-08,3.1007744760260725e-09,4.0309856790226135e-08
262,1.23991851567173e-07,6.8370138941117225e-06,5.022510400318963e-06,3.5426516500474777e-07,2.7969948476483157e-06,6.441219324097526e-09,1.0209276465121572e-06,6.843764504681881e-07,3.739050041755951e-06,4.428216687498815e-06,1.4492728394710091e-08,3.5426569818057375e-08,2.376780912398761e-06,3.3976806255473777e-06,4.7663356439405954e-07,3.671462261644394e-07,7.069160669455978e-07,1.7085134558438308e-06,3.397739084929894e-07,3.4266365043178294e-06
810,1.2459375375924665e-07,7.203449848705594e-06,7.135826166918353e-07,3.5598472684206937e-07,6.14375095358534e-06,6.472487379068873e-09,3.592206304840451e-07,6.876980018040041e-07,1.0905866286963244e-06,4.449684939954179e-06,1.3478905895457782e-06,3.0355665047688783e-06,1.3883271121134474e-06,3.4141577272217553e-06,7.811960039219865e-06,1.0355878581309787e-06,2.7103207985625116e-06,1.7168030636065294e-06,3.4142313145950465e-07,3.1099316976872293e-06
318,0.0032166282087412483,0.0033535836766297143,0.0030156541157703005,0.002848078990609222,0.003333383419491562,0.002527636575283974,0.002820540262789991,0.0026469061194314947,0.0032002279767326222,0.0033350769512086077,0.0025887137082333976,0.0027170709242634876,0.00303049212679077,0.0035798886968196803,0.0034620789408163887,0.003152523576090756,0.003235993697900089,0.003174409950989449,0.0024759885985446064,0.003437021497869363
49,0.0017172817282228893,0.0017124354790761516,0.0012343973251126325,0.0013064695776262144,0.0016472141120682043,0.0009382621550365571,0.0011259315374650969,0.0010059734870866473,0.0013760958562311519,0.0012291333571951692,0.0010928468475836285,0.0011156630020554659,0.0013092401395348812,0.001854456683910855,0.0018742454476405755,0.001477065456497369,0.0016355264277381292,0.0015674922920310705,0.0008459037275047211,0.001792036085449097
446,1.1415753943564574e-05,1.2474661204664142e-05,8.25059339981113e-06,3.7989220478148713e-06,1.2012864028619105e-05,1.0691086103022006e-06,2.685166822257164e-06,1.7549960169181012e-06,6.965333263765558e-06,1.2023499589989702e-05,2.1292609312275215e-06,3.3383348718723726e-06,6.712463090593189e-06,1.5614363134618868e-05,1.4402642405278412e-05,6.844239849169189e-06,5.268988853358529e-06,7.030095208074898e-06,1.1167129323668198e-06,1.0459065370848523e-05
142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
968,0.0017294707185322232,0.0012921524028052917,0.0012402551140503477,0.0013129844000469865,0.0014625530781497355,0.0007924842131931303,0.0012828855097526742,0.0010099297184012266,0.0013179285771243905,0.0016875865879159612,0.0008348282383617606,0.001162432375862107,0.0013228586335568178,0.001868441895323604,0.001193592332563976,0.0014858032859989124,0.0016467297444793293,0.0015775908053364772,0.0007817819187235812,0.001805184233196659
345,0.002400364426651556,0.0023634980662416392,0.0020488784477543567,0.0018882472512038798,0.0023117644596014207,0.0014787987424465924,0.0017684185810855314,0.001608702614390063,0.0021343040121381864,0.0023240151787406937,0.0017150827907213085,0.001618778910661631,0.002017367259767273,0.002545113378189623,0.0025247135310526555,0.002127985687965364,0.0021550929037358613,0.0021553420737997955,0.001468066100836602,0.002425804108463233
971,2.9124112274872905e-05,3.9054205204568055e-06,7.170628113268036e-07,3.577210640536273e-07,1.5072434301991196e-06,6.504060488235062e-09,6.943033201280349e-07,3.577210609615361e-07,3.7624948871586723e-06,4.138042990185606e-06,2.1138157491734622e-08,1.717047648518639e-06,1.39509673055866e-06,3.430795500731485e-06,7.51666455519216e-06,1.040637990724996e-06,7.235654448630043e-07,5.8536126769649284e-08,9.756085876973089e-09,3.12508844285386e-06
133,0.00010660656223256484,8.603362358576e-05,1.7184580151945303e-05,2.2951966260860977e-05,7.541929099904232e-05,3.491267097244359e-06,1.5464537454266435e-05,4.331016203061603e-06,4.695145286095487e-05,6.17365888274373e-05,3.365367456293583e-06,1.3407578484579273e-06,2.2538704252044492e-05,2.4658568793558753e-06,5.769554272335022e-06,2.8898055917614486e-05,3.860251738901908e-05,3.3026100660573855e-05,5.521598284229617e-06,4.9754775601624055e-05
