node,checking account status,Duration in month,Credit history,Purpose,Credit amount,Savings account/bonds,employment, Installment,status n sex, Other debtors / guarantors,residence,Property,Age in years,Other installment plans,Housing,existing credits no.,Job,liability responsibles,Telephone,foreign worker
507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
818,0.002130842418827638,0.00048570680349678856,0.0007038509582945909,0.00047153174214526714,0.0008858721184077461,0.0008738576249152915,0.0008984263263327249,0.0004607949521858415,0.0005048015931631955,0.0004003068834370934,0.0004752905563021633,0.0008485110162039527,0.0003016131610921899,0.0006757012627951365,0.0003701446550676216,0.00028801194144646356,0.00035810552740889206,0.0006263945013574094,0.0007277303288890247,0.00037246079459669966
452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
368,4.05851362119341e-07,0.0,0.0,0.0,0.0,1.5544029050972262e-08,0.0,0.0,0.0,1.5544019636172373e-08,0.0,0.0,0.0,6.9084602763377525e-09,0.0,0.0,0.0,0.0,0.0,8.635578583764162e-09
242,0.002179951820054388,0.0005666902234127484,0.0015436307177619077,0.0004942737825391357,0.0004550426873310719,0.0009009573594796457,0.0005098112053640582,0.00048162302974296583,0.00036618814354146944,0.00035204915220693434,0.0004892102599604012,0.0014662666338562918,0.00034332887038029323,0.0007021811445009468,0.0004413064022798394,0.00029767207905008724,0.00030940701805091036,0.0006854390552989772,0.0007521303933425305,0.00038554994339702863
929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
810,1.2032016041439989e-06,0.0,0.0,0.0,0.0,8.286185519464244e-08,0.0,0.0,0.0,1.694912875582637e-08,0.0,3.3521638418075404e-07,0.0,9.416188938017364e-09,0.0,0.0,0.0,9.416189715875488e-09,0.0,9.416195856872787e-09
318,0.0004370993299158735,5.07417354908472e-06,5.135137820968965e-05,9.251646866366053e-06,3.460929321808555e-06,7.019469980918847e-06,1.18054916223818e-06,1.75671470713124e-06,1.2615956617429196e-06,3.170447617882978e-06,1.0007395536972723e-05,4.324744190158757e-06,4.1120640354994643e-07,2.015161472936554e-06,1.23668223882265e-06,1.277171294097385e-06,4.080915350504181e-07,2.4511018588664333e-06,9.051091070392986e-06,3.3731275703976386e-06
49,0.00020812093430057214,1.3617456381458953e-06,3.9791372386959436e-07,7.364196467920613e-07,3.385007732363968e-07,2.8207726144326087e-06,9.560613171642117e-08,4.0050969327687445e-07,3.5917049671120873e-07,1.123993195568242e-06,1.7622249582167544e-06,3.752124878052158e-05,1.8087834411615366e-08,6.459563079812654e-07,3.3850077519376114e-07,1.7829457364341126e-07,5.167956698770082e-09,3.5916597314545187e-07,1.4392326518529877e-06,1.2919896640825449e-08
