node,age,shape,margin,density
241,0.0,0.0,0.0,0.0
852,0.0,0.0,0.0,0.0
436,0.0,0.0,0.0,0.0
386,0.0,0.0,0.0,0.0
345,0.0,0.0,0.0,0.0
311,0.0,0.0,0.0,0.0
875,0.0,0.0,0.0,0.0
267,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0
78,0.0,0.0,0.0,0.0
604,0.0,0.0,0.0,0.0
347,0.0,0.0,0.0,0.0
191,0.0,0.0,0.0,0.0
104,0.0,0.0,0.0,0.0
711,1.7253109861591835e-05,3.1141868512111137e-06,0.00015190311418685138,0.0
754,0.0,0.0,0.0,0.0
101,0.0,0.0,0.0,0.0
790,0.0,0.0,0.0,0.0
926,0.0,0.0,0.0,0.0
94,0.0,0.0,0.0,0.0
228,0.0,0.0,0.0,0.0
388,0.0,0.0,0.0,0.0
828,1.7360492432641172e-05,2.2836124567475632e-06,0.000132604740484429,0.0
90,0.0,0.0,0.0,0.0
672,0.0,0.0,0.0,0.0
681,0.0,0.0,0.0,0.0
248,0.0,0.0,0.0,0.0
370,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0
809,0.0,0.0,0.0,0.0
366,0.0,0.0,0.0,0.0
238,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0
371,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
435,0.0,0.0,0.0,0.0
306,0.0,0.0,0.0,0.0
552,0.0,0.0,0.0,0.0
233,0.0,0.0,0.0,0.0
504,0.0,0.0,0.0,0.0
937,0.0,0.0,0.0,0.0
535,0.0,0.0,0.0,0.0
207,0.0,0.0,0.0,0.0
339,0.0,0.0,0.0,0.0
189,0.0,0.0,0.0,0.0
676,0.0,0.0,0.0,0.0
298,0.0,0.0,0.0,0.0
709,0.0,0.0,0.0,0.0
309,0.0,0.0,0.0,0.0
917,0.0,0.0,0.0,0.0
119,0.0,0.0,0.0,0.0
159,0.0,0.0,0.0,0.0
945,0.0,0.0,0.0,0.0
433,0.0,0.0,0.0,0.0
429,0.0,0.0,0.0,0.0
919,0.0,0.0,0.0,0.0
915,0.0,0.0,0.0,0.0
858,0.0,0.0,0.0,0.0
737,0.0,0.0,0.0,0.0
900,0.0,0.0,0.0,0.0
452,0.0,0.0,0.0,0.0
625,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
486,0.0,0.0,0.0,0.0
472,0.0,0.0,0.0,0.0
865,0.0,0.0,0.0,0.0
541,0.0,0.0,0.0,0.0
389,0.0,0.0,0.0,0.0
304,0.0,0.0,0.0,0.0
612,0.0,0.0,0.0,0.0
194,0.0,0.0,0.0,0.0
509,0.0,0.0,0.0,0.0
891,0.0,0.0,0.0,0.0
516,0.0,0.0,0.0,0.0
483,0.0,0.0,0.0,0.0
467,0.0,0.0,0.0,0.0
923,0.0,0.0,0.0,0.0
148,0.0,0.0,0.0,0.0
943,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0
833,0.0,0.0,0.0,0.0
684,0.0,0.0,0.0,0.0
683,0.0,0.0,0.0,0.0
372,0.0,0.0,0.0,0.0
154,0.0,0.0,0.0,0.0
839,0.0,0.0,0.0,0.0
3,1.1335744075069112e-05,1.4086786976766174e-06,0.00011524757085038738,0.0
677,0.0,0.0,0.0,0.0
953,0.0,0.0,0.0,0.0
736,0.0,0.0,0.0,0.0
667,0.0,0.0,0.0,0.0
720,7.021792963879932e-06,1.1710332370355179e-06,9.98441096977477e-05,0.0
890,0.0,0.0,0.0,0.0
242,0.0,0.0,0.0,0.0
643,7.606474258005668e-06,5.766736351369479e-07,8.74508484644781e-05,0.0
117,0.0,0.0,0.0,0.0
641,0.0,0.0,0.0,0.0
286,0.0,0.0,0.0,0.0
701,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
502,6.915549146542936e-06,6.290985110584886e-07,7.786435035250617e-05,0.0
65,8.643022152622249e-06,6.920083621643375e-07,7.262604667723766e-05,0.0
764,0.0,0.0,0.0,0.0
553,9.60268571230174e-06,7.688981801825971e-07,7.112906840877503e-05,0.0
647,0.0,0.0,0.0,0.0
952,0.0,0.0,0.0,0.0
274,0.0,0.0,0.0,0.0
830,0.0,0.0,0.0,0.0
314,0.0,0.0,0.0,0.0
791,0.0,0.0,0.0,0.0
142,0.0,0.0,0.0,0.0
731,0.0,0.0,0.0,0.0
743,9.421452508755427e-06,1.556878973106154e-06,7.42284048645428e-05,0.0
635,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
120,0.0,0.0,0.0,0.0
73,0.0,0.0,0.0,0.0
412,0.0,0.0,0.0,0.0
349,0.0,0.0,0.0,0.0
463,1.0076875362249881e-05,1.0874217345777294e-06,8.177550707154008e-05,0.0
629,0.0,0.0,0.0,0.0
111,0.0,0.0,0.0,0.0
675,0.0,0.0,0.0,0.0
913,0.0,0.0,0.0,0.0
175,0.0,0.0,0.0,0.0
430,0.0,0.0,0.0,0.0
652,0.0,0.0,0.0,0.0
250,0.0,0.0,0.0,0.0
262,0.0,0.0,0.0,0.0
521,0.0,0.0,0.0,0.0
631,0.0,0.0,0.0,0.0
512,0.002620831150116915,0.002598010191395827,0.0020166613994487383,0.0025951557093425604
8,0.0,0.0,0.0,0.0
800,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0
946,0.0,0.0,0.0,0.0
426,0.0,0.0,0.0,0.0
331,0.0,0.0,0.0,0.0
84,0.0,0.0,0.0,0.0
857,0.0,0.0,0.0,0.0
186,0.0,0.0,0.0,0.0
125,0.0,0.0,0.0,0.0
255,0.0,0.0,0.0,0.0
434,0.0,0.0,0.0,0.0
927,1.1411307010824269e-05,1.2686586903406844e-06,9.405134645842502e-05,0.0
801,0.0,0.0,0.0,0.0
763,0.0,0.0,0.0,0.0
363,0.0,0.0,0.0,0.0
81,0.0,0.0,0.0,0.0
201,0.0,0.0,0.0,0.0
551,1.3693568412989123e-05,1.5223904284088213e-06,0.00011252496645858107,0.0
415,0.0,0.0,0.0,0.0
724,0.0,0.0,0.0,0.0
911,0.0,0.0,0.0,0.0
258,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0
195,0.0,0.0,0.0,0.0
464,0.0,0.0,0.0,0.0
510,0.0,0.0,0.0,0.0
350,0.0,0.0,0.0,0.0
340,0.0,0.0,0.0,0.0
640,0.0,0.0,0.0,0.0
528,0.0,0.0,0.0,0.0
449,0.0,0.0,0.0,0.0
899,0.0,0.0,0.0,0.0
200,0.0,0.0,0.0,0.0
592,1.5916955017301207e-05,0.0,0.0,0.0
563,0.0,0.0,0.0,0.0
395,0.0,0.0,0.0,0.0
716,0.0,0.0,0.0,0.0
527,0.0,0.0,0.0,0.0
664,0.0,0.0,0.0,0.0
180,0.0,0.0,0.0,0.0
318,0.0,0.0,0.0,0.0
930,0.0,0.0,0.0,0.0
494,0.0,0.0,0.0,0.0
