checking account status,Duration in month,Credit history,Purpose,Credit amount,Savings account/bonds,employment, Installment,status n sex, Other debtors / guarantors,residence,Property,Age in years,Other installment plans,Housing,existing credits no.,Job,liability responsibles,Telephone,foreign worker,node,percentage
5.5148366731239026e-05,5.717915277123509e-05,5.455464193420778e-05,3.422211757570553e-05,5.700602299924315e-05,2.957208744024605e-05,3.2997013256439115e-05,2.68256304693657e-05,5.823959783870508e-05,7.760670247489014e-05,7.94264815143459e-05,5.5246058783232547e-05,6.541042797379894e-05,0.00015582754294596172,0.00011095262496770529,4.463865558306158e-05,4.2449282588036155e-05,2.4569429835195474e-05,2.3349738229605074e-05,2.4811653354746895e-05,507,10
2.594620525365594e-06,1.7369409192456575e-06,2.3730112208888586e-06,1.4454754386884028e-06,2.360526079393396e-06,2.9520919595682806e-07,8.103428827354857e-07,5.096875251568113e-07,1.1458954149895674e-06,2.4065339312551934e-06,7.412812902505385e-07,5.690329459014158e-07,1.4088764387656984e-06,6.172382745797632e-06,3.5858892980530427e-06,1.4487671302745179e-06,9.191805920405093e-07,1.4470502774432528e-06,1.9410979275195355e-07,1.2156075186341484e-06,818,10
1.5506796358931352e-08,1.0215788314324411e-08,1.0574509382800549e-08,3.512390518039848e-10,1.0910770002436745e-08,0.0,5.2910028108342744e-09,0.0,2.1074314434697876e-09,3.1274444569433955e-08,0.0,0.0,5.634757676552973e-09,2.3928785874485976e-08,2.0057768434155087e-08,4.222331848107679e-09,2.114907482138888e-09,7.047185737239407e-09,0.0,7.704775105919021e-09,452,10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368,10
3.828435709145336e-05,2.6822572581824966e-05,5.417925213386531e-05,3.2631232598199686e-05,3.06974085948264e-05,1.4777298363802914e-05,2.1888490941515e-05,1.8716102318149913e-05,2.002009951189093e-05,2.643213160973424e-05,2.6580022270182985e-05,2.484929692192363e-05,2.5503016733457193e-05,5.677716008203621e-05,4.6323485546029676e-05,2.0104239728938235e-05,2.0243517509148316e-05,3.204029594458397e-05,1.3517599039143803e-05,2.903972984414754e-06,242,10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,929,10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262,10
0.00013259103630152135,0.00010161280367226822,0.0001727977465296913,0.00010247336519708048,0.00011500732497288495,4.8231478609710464e-05,9.813526859438741e-05,9.899002998231847e-05,0.0001030222697922688,9.909244578053798e-05,0.00012331976124907136,0.00011793533772286644,0.00012612769996844775,0.000249554222325225,0.00012922777084289883,9.170376252876349e-05,9.779104233131669e-05,0.0001349090595181967,5.230409680826467e-05,7.057130465411754e-05,810,10
4.7109762561153775e-05,2.0625974050003632e-05,4.050650104078596e-05,1.6106984672283965e-05,2.377480085436128e-05,3.5534191493971073e-06,1.6444174400083846e-05,1.005623697539598e-05,1.3562466411610028e-05,1.3343927675702258e-05,2.4591485787456454e-05,6.905319844398273e-06,1.708814264568679e-05,8.664637608137498e-05,4.203020900657911e-05,1.91295086150934e-05,1.1460634573531609e-05,2.4243105172355178e-05,4.073198600736823e-06,2.870582864481565e-06,318,10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49,10
