checking account status,Duration in month,Credit history,Purpose,Credit amount,Savings account/bonds,employment, Installment,status n sex, Other debtors / guarantors,residence,Property,Age in years,Other installment plans,Housing,existing credits no.,Job,liability responsibles,Telephone,foreign worker,node,percentage
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,507,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,818,50
1.8372317891772465e-05,6.529626849294025e-05,5.54647482336715e-07,2.5567104757765567e-05,5.715789096849478e-05,5.5571509190760825e-06,2.046791245746668e-05,1.8991083127093884e-05,5.104307150952426e-05,5.5692622188603795e-05,4.213202390823002e-06,1.8430822174994235e-05,3.98012970009161e-05,2.308655664124586e-05,6.068000698477406e-05,2.7338641382550716e-05,3.8880239886117935e-05,3.238429910523009e-05,2.7786210784382824e-06,7.594071124029987e-05,452,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,929,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,810,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49,50
6.401948722086017e-06,3.609993513408773e-05,1.5940415830945168e-05,9.858515605117871e-06,2.9967185731337048e-05,5.081231144156416e-06,1.236298695148179e-05,6.336913171971575e-06,2.2511885215431168e-05,3.498273581548592e-05,5.732758148098342e-06,9.096260001503457e-06,2.028742437471915e-05,1.2376761032279966e-05,2.559842026585284e-05,2.2108471256637855e-05,1.729815244947332e-05,1.4928826168697997e-05,3.801290210275524e-06,4.376164450972158e-05,446,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,968,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345,50
0.0005655247970519127,0.0009720046355046389,0.0006954498532079043,0.00041505111133236845,0.0006456480047534931,0.00026041992743688154,0.00048462153256392847,0.0001408809306571847,0.0009445195360421631,0.0011162755926559906,0.00018798338517446407,0.0005790153456902286,0.0006743503801586964,0.0010243766349324291,0.0010773822641014028,0.0009901276730640324,0.00041104229452778424,9.44114645602344e-05,0.00021716612523470921,0.0011628962871620139,971,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133,50
0.0031609912275848123,0.0034919911325298177,0.0034454630843553397,0.003243767713294524,0.003403797410792055,0.0032957386607973672,0.0033308050824436422,0.0032008582379769585,0.0035583531495520957,0.0035255879580865773,0.003152538920058048,0.003259935561880724,0.0034727452997555053,0.003371859863897297,0.003453509351596043,0.0035081602062602925,0.0033878353275824226,0.003597430327756098,0.0030482691147203163,0.0036294943774284397,104,50
0.003276695178647531,0.0036300461488638046,0.003574235871463211,0.0033523276592941475,0.003533288610626394,0.003384315756128531,0.0034073505681742177,0.003298614349562771,0.0036278999102159677,0.0036545760181511413,0.0032685707140029377,0.003337198327803229,0.0035849856436131517,0.003496164382162276,0.0035119171226066495,0.003638141970771898,0.003511186080793323,0.003725193472009461,0.003208184440895461,0.003762025372268985,6,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,496,50
0.00045398598152596127,0.0009410203304112296,0.0006492630666607626,0.0005447379623813857,0.000951237876434162,0.0003130776719972821,0.000386823740543102,0.0002817513759518619,0.0006519381407112107,0.0010852257500781168,0.00040338919684311666,9.281955521978254e-05,0.0005182931945574797,0.0009942604930604608,0.00016754073052493404,0.0009355805033362915,0.0007865760823609934,0.0006838457540736499,0.00015054784071765452,0.0011333249186618235,702,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,472,50
0.00021256844733054807,0.0004122569920455277,0.000205112253733398,6.600478208427214e-05,0.00033740132754645657,5.97002888030445e-05,0.00018308745586758445,0.0001307258849844181,0.00031283659623471187,0.0003690415252654114,0.00012122904191358143,0.00016771501523843636,0.00023991679221820785,1.6779452710742683e-05,0.00037937628616763804,0.0001964045918263768,0.00023744864816225138,0.0001737219332744244,5.3682989229370726e-05,0.0004164603142630034,598,50
0.0034363982550237914,0.003768008037965928,0.0037166023416864953,0.0034755018167110965,0.0036742781358497316,0.0035136331490959825,0.003539132663810999,0.0034506528749574383,0.0038786134260957,0.0037959773728949474,0.003396789168758818,0.0034724162750208814,0.0037166859808191667,0.0036323917684573503,0.0036490835364427565,0.0037811747389081742,0.0036465483343749066,0.0038653261641555994,0.00333234865882678,0.003907219451099982,502,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433,50
0.0010431562512606836,0.0020629920992408088,0.0017154317530878802,0.0013602943343025155,0.0018293512967367824,0.0012586158306534692,0.0015231744222646102,0.0013464131858046521,0.0011819294174534977,0.001885270190057476,0.0011413733289308279,0.0013233896274867038,0.001747307551229079,0.0018337810612597412,0.0019631369686917283,0.0018463980014986146,0.0014700335024191557,0.002059859768503192,0.0008682808120352481,0.0020887304942971904,119,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,647,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,589,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,374,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,910,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,718,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,744,50
9.761202526596674e-05,0.0011132941198432797,0.000681588075699694,0.00040851241877886546,0.0010591094733574961,0.00025495300567448387,0.00047784194314798035,0.000485326058341096,0.0009400223014183004,0.0011137450405563289,0.00047901658477918045,0.0004657452517539722,0.0007821417581838989,0.0010206996896970906,0.0003467106233892991,0.0007152097906338631,0.000404900677925297,9.282104296965503e-05,0.00021221381925647293,0.00015062358248949415,494,50
0.00035268295352010624,0.001154565903601374,0.0008838045404427147,0.000527567175275131,0.0010428662435343974,0.00025657991672044955,0.0005679569725845226,0.00039710562706959365,0.0009595074028641237,0.0011429138808202975,0.0002806064126171983,0.0004750596836045044,0.0007699502413635176,0.0009928731193919946,0.0011343686479565029,0.0010557193199983936,0.0008624571804633204,0.00016383755079132947,0.00023317198946091146,0.0012116134552504333,404,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78,50
6.666666666665932e-07,5.382510961968832e-06,4.474272930648277e-09,6.711404921699484e-07,2.684556599552277e-06,4.474272930648277e-09,4.474272930648277e-09,0.0,2.026837583892399e-06,7.378026845637517e-06,6.666666666665932e-07,1.3378067114092486e-06,2.017891722594856e-06,4.474272930648277e-09,6.711404921699484e-07,2.013418791946087e-06,3.337805369127149e-06,0.0,0.0,7.378026845637517e-06,721,50
0.0010454505129723379,0.0023309506148563295,0.0020832950415047373,0.0019781664040730475,0.0021921382325146687,0.0019729776413223783,0.0020645053898480556,0.0017787159392546434,0.0018780461330495395,0.0024095991891711207,0.0012225939495854293,0.0018841270198580362,0.0022705578131940727,0.002315954486752949,0.002364100089079162,0.0022391830777340684,0.002039474232006268,0.0025154241408107667,0.001299268406711322,0.002547098588749512,644,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,614,50
2.038717273675735e-06,9.947754606223045e-05,5.367807183736097e-05,6.221465593885866e-06,0.00010042310472884381,1.710998729864213e-05,4.4161206984478175e-05,6.854740732908939e-06,0.00011225468088401422,0.00011383393099137634,6.360777574775267e-06,2.2775172608653653e-05,5.50679375805189e-05,5.1251123390257275e-05,0.00010811132264115503,5.119763581982856e-05,7.1502526455396e-05,5.1423022687280743e-05,6.2331198930085725e-06,0.00015415332189360042,872,50
1.2721356340459917e-05,0.0001359435397460353,4.046404719876863e-05,2.8270599281341208e-05,0.00011725019073246178,1.6586801405643517e-05,2.120077943823492e-05,2.291010028109944e-05,5.288923977321208e-05,0.00011144724304553906,2.0413310816040216e-05,2.1632789525448917e-05,4.819688308672181e-05,4.968028251006881e-05,0.00010501175233250947,8.394345960632372e-05,2.311659803542553e-05,4.9852712412540855e-05,9.618642389339092e-06,0.00015076270604587224,691,50
0.0043967881824432346,0.0048605406571731935,0.0047508691934704805,0.004482838217245266,0.0047406727318198595,0.004547835966051029,0.004562288283897971,0.004422667084001002,0.004876171930579215,0.004904374245781614,0.004383953238264993,0.0045133577615578905,0.004814577401031075,0.004693648154811663,0.00473257301119445,0.004891462701467651,0.004716665807560715,0.004979301350478821,0.004265163899217709,0.00505102726289309,90,50
6.422994012081341e-06,3.6450377469862386e-05,1.607452198623157e-05,9.930717433096756e-06,3.019262435559512e-05,5.128152495686299e-06,1.2473537227758547e-05,6.396267438043375e-06,2.2722899301034913e-05,3.526300271784923e-05,5.787821881656679e-06,9.177849661899683e-06,2.044763437818187e-05,1.2397718648001747e-05,2.5750263960711943e-05,2.2312099328571924e-05,1.7435545204928237e-05,1.5059693998994636e-05,3.83723427955992e-06,4.4098279701384114e-05,101,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94,50
