sepal_length,sepal_width,petal_length,petal_width,node
0.0,0.0,0.0,0.0,14
0.0,0.0,0.0,0.0,98
0.0,0.0,0.0,0.0,75
0.0,0.0,0.0,0.0,16
0.0,0.0,0.0,0.0,131
0.0,0.0,0.0,0.0,56
0.0,0.0,0.0,0.0,141
0.0,0.0,0.0,0.0,44
0.0,0.0,0.0,0.0,29
0.0,0.0,0.0,0.0,120
0.0,0.0,0.0,0.0,94
0.0,0.0,0.0,0.0,5
0.0,0.0,0.0,0.0,102
0.0,0.0,0.0,0.0,51
0.0,0.0,0.0,0.0,78
0.0,0.0,0.0,0.0,42
0.0,0.0,0.0,0.0,92
0.0,0.0,0.0,0.0,66
0.0,0.0,0.0,0.0,31
0.0,0.0,0.0,0.0,35
0.0,0.0,0.0,0.0,90
0.0,0.0,0.0,0.0,84
0.0,0.0,0.0,0.0,77
0.0,0.0,0.0,0.0,40
0.0,0.0,0.0,0.0,125
0.0,0.0,0.0,0.0,99
0.0,0.0,0.0,0.0,33
0.0,0.0,0.0,0.0,19
0.0,0.0,0.0,0.0,73
0.0,0.0,0.0,0.0,146
0.0,0.0,0.0,0.0,91
0.0,0.0,0.0,0.0,135
0.0,0.0,0.0,0.0,69
0.0,0.0,0.0,0.0,128
0.0,0.0,0.0,0.0,114
0.0,0.0,0.0,0.0,48
0.0,0.0,0.0,0.0,53
0.0,0.0,0.0,0.0,28
0.0,0.0,0.0,0.0,54
0.0,0.0,0.0,0.0,108
0.0,0.0,0.0,0.0,112
0.0,0.0,0.0,0.0,17
0.0,0.0,0.0,0.0,119
0.0,0.0,0.0,0.0,103
0.0,0.0,0.0,0.0,58
