age,shape,margin,density,node,percentage
1.9319673277798006e-06,6.205460236813684e-05,0.0002979740695010315,3.1425361132196424e-06,241,40
0.0,0.0,0.0,0.0,852,40
0.0,0.0,0.0,0.0,436,40
0.0,0.0,0.0,0.0,386,40
0.0,0.0,0.0,0.0,345,40
2.764948504407197e-07,0.00013575684505852804,0.00013037528313170288,5.083697558478264e-06,311,40
0.0,0.0,0.0,0.0,875,40
0.0,0.0,0.0,0.0,267,40
0.0,2.610212683506685e-06,0.00013642017224435775,4.761904761904237e-06,35,40
0.0,5.249766404318876e-05,1.1619659552678952e-05,5.513737613104526e-07,78,40
0.0,0.0,0.0,0.0,604,40
0.0,0.0,0.0,0.0,347,40
6.399577568518062e-05,0.0008262552270027678,0.0007679966064497112,7.912587601024772e-05,191,40
2.94240484887315e-06,0.0005219253018314627,0.0003515887564457014,0.00015284037746183624,104,40
0.0,0.0,0.0,0.0,711,40
0.0007315998108296326,0.003316977246054411,0.0033187718781247768,0.0004947061776654049,754,40
9.523809523808475e-07,4.8165249042257076e-05,0.0009990503435844615,0.00011103589743229402,101,40
0.0,0.0,0.0,0.0,790,40
0.0,0.0,0.0,0.0,926,40
0.0,0.0,0.0,0.0,94,40
0.0,0.0,0.0,0.0,228,40
1.17092617484147e-05,0.002261704324032366,7.669660266099919e-05,1.0878222354884125e-05,388,40
0.0,0.0,0.0,0.0,828,40
1.9840277942168792e-05,0.00015127392400340311,0.0003891985991557547,2.066588929599436e-05,90,40
0.0,3.0323230912196036e-06,2.3303974668535014e-06,5.602240896357926e-08,672,40
0.0,0.0,0.0,0.0,681,40
0.0,0.0,0.0,0.0,248,40
0.0,0.0,0.0,0.0,370,40
0.0,0.00020616320483014973,0.0001115873227950895,5.304355172100557e-07,34,40
0.0,2.6383062517294166e-06,3.6043338543167435e-06,5.120327700972298e-08,809,40
0.0,0.0,0.0,0.0,366,40
0.0,0.0,0.0,0.0,238,40
0.0,0.0001317638490456552,5.9405994495794226e-05,2.91519744483127e-06,41,40
0.0,0.0,0.0,0.0,371,40
0.0,0.0,0.0,0.0,17,40
0.0,0.0,0.0,0.0,435,40
1.987527081830075e-05,0.000236591311069659,0.0007380696903888096,4.378793009170301e-05,306,40
0.0,0.0,0.0,0.0,552,40
0.0,0.0,0.0,0.0,233,40
0.0,0.0,0.0,0.0,504,40
0.0,0.0,0.0,0.0,937,40
0.0,0.0,0.0,0.0,535,40
0.0,0.0,0.0,0.0,207,40
0.0,1.4381716725493017e-05,7.536247881012825e-05,3.4379437763353417e-05,339,40
1.36127718659676e-05,0.0004316866258868358,0.0003845167579537397,2.1115159742711236e-05,189,40
0.0,0.0,0.0,0.0,676,40
0.0002262440566461527,0.002790318005689953,0.0033320955637685472,0.00027431659823720634,298,40
0.0,0.0,0.0,0.0,709,40
0.0,0.0,0.0,0.0,309,40
0.0,2.5557819546887226e-06,2.1130530043273134e-06,0.0,917,40
0.0,0.0,0.0,0.0,119,40
0.0,0.0,0.0,0.0,159,40
0.0,0.0,0.0,0.0,945,40
0.0,0.0,0.0,0.0,433,40
0.0,5.7531796452454735e-06,1.926595758621482e-06,5.473453749315215e-08,429,40
0.0,0.0,0.0,0.0,919,40
0.0,0.0,0.0,0.0,915,40
0.0,0.0,0.0,0.0,858,40
0.0,0.0,0.0,0.0,737,40
0.0,0.0,0.0,0.0,900,40
1.2625305640313116e-05,0.00010895598522469705,0.001939500248453315,2.462811398085318e-05,452,40
0.0,0.0,0.0,0.0,625,40
0.0,0.0,0.0,0.0,6,40
0.0,0.0,0.0,0.0,486,40
0.0,0.0,0.0,0.0,472,40
0.0,0.0,0.0,0.0,865,40
0.0008848002634665242,0.0031291880227917283,0.004856306984860991,0.0006526316338457998,541,40
0.0,0.0,0.0,0.0,389,40
0.0,0.0,0.0,0.0,304,40
0.0017001248540129072,0.005072693548302223,0.0059299038784382,0.0011033617540765085,612,40
0.0,0.0,0.0,0.0,194,40
0.004033480083810017,0.008367525123597895,0.009457713385088476,0.002520091996739677,509,40
0.0,0.0,0.0,0.0,891,40
0.0,0.0,0.0,0.0,516,40
0.0,0.0,0.0,0.0,483,40
7.547488490014223e-05,0.0009066225432863758,0.0009032705774159067,9.08222276489293e-05,467,40
0.0003635116070762289,9.691152420121642e-05,0.00018862850286819314,2.41415610427905e-05,923,40
0.0,0.0,0.0,0.0,148,40
0.0,0.0,0.0,0.0,943,40
0.0,0.0,0.0,0.0,59,40
0.0,0.0,0.0,0.0,833,40
5.5210391680706214e-08,7.531614187824207e-05,3.644646190523506e-05,2.235918199899485e-06,684,40
0.0,0.0,0.0,0.0,683,40
0.0,0.0,0.0,0.0,372,40
0.0,0.0,0.0,0.0,154,40
0.0,0.0,0.0,0.0,839,40
0.0033226612352268404,0.006663801053050492,0.00743617570925532,0.0019038992938698262,3,40
2.5784194678692847e-05,0.0006719826325971439,0.0006555796710455238,0.00025207102824723157,677,40
0.0,2.696346312528464e-06,3.6835340536700456e-06,5.232862375718942e-08,953,40
0.0,0.0,0.0,0.0,736,40
0.0,0.0,0.0,0.0,667,40
0.003436663091315827,0.007293939611158962,0.008185395880407485,0.00198826301162124,720,40
0.0,2.5827107480074114e-06,2.3057542932228752e-07,0.0,890,40
0.0,0.0,0.0,0.0,242,40
0.0,0.0,0.0,0.0,643,40
1.9607730095052765e-06,6.406103901895633e-05,0.0003216712054005533,8.933877857020068e-06,117,40
0.0,0.0,0.0,0.0,641,40
0.0,0.0,0.0,0.0,286,40
0.0,0.0,0.0,0.0,701,40
0.0,0.0,0.0,0.0,2,40
0.0,0.0,0.0,0.0,502,40
0.0011830401865557342,0.0016244378083646231,0.002868366734406799,0.001348462449232554,65,40
0.0,0.0,0.0,0.0,764,40
0.003235942616565957,0.0059041169433106475,0.0071021397189402705,0.0017062635505811661,553,40
0.0,0.0,0.0,0.0,647,40
0.0,0.0,0.0,0.0,952,40
0.0,0.0,0.0,0.0,274,40
0.0,0.0,0.0,0.0,830,40
0.0,0.0,0.0,0.0,314,40
0.0,0.0,0.0,0.0,791,40
0.0,0.0,0.0,0.0,142,40
0.00010136905162376302,0.00099381349153252,0.0011587091137443928,0.00014129186206723453,731,40
0.0058407459585927066,0.009863313094023466,0.010935105105371426,0.003863182373495381,743,40
1.1711716818882751e-05,0.0004179792446427672,0.0012495324967426616,1.9822491476151224e-05,635,40
4.173848156815732e-05,0.00011004793595320699,0.0007302579271750576,3.7914196838111264e-05,13,40
1.2986946965360187e-07,9.94857835296305e-05,9.640409390804162e-05,4.717904105326855e-06,120,40
0.0,0.0,0.0,0.0,73,40
0.0,6.597481730687829e-06,1.840506199538906e-06,5.3504547886564464e-08,412,40
8.74191501055696e-05,0.0016093545457291714,0.0006117161889706344,7.948338466576693e-05,349,40
0.013992941641520986,0.022801024374440954,0.025084273473055394,0.011361550038734906,463,40
0.0,0.0,0.0,0.0,629,40
0.0,0.0,0.0,0.0,111,40
0.0,0.0,0.0,0.0,675,40
0.0,0.0,0.0,0.0,913,40
0.0,0.0,0.0,0.0,175,40
0.0,0.0,0.0,0.0,430,40
0.0,0.0,0.0,0.0,652,40
0.0,0.0,0.0,0.0,250,40
3.195227853498424e-05,0.00022863183858203633,0.0006807915678977717,0.00023940038267767226,262,40
0.0,0.0,0.0,0.0,521,40
0.0,0.0,0.0,0.0,631,40
0.0,0.0,0.0,0.0,512,40
0.0,0.0,0.0,0.0,8,40
0.0,0.0,0.0,0.0,800,40
0.0,0.0,0.0,0.0,56,40
0.0,0.0,0.0,0.0,946,40
0.0,0.0,0.0,0.0,426,40
0.0007712463175728523,0.0035879791285192923,0.0035907048199609027,0.000513993153804635,331,40
0.0,0.0,0.0,0.0,84,40
0.0,0.0,0.0,0.0,857,40
0.0,0.0,0.0,0.0,186,40
0.0,0.0,0.0,0.0,125,40
