age,shape,margin,density,node,percentage
0.0016871873905865964,0.0018755674606625646,0.0018222659477361237,0.0013226880649591971,241,20
0.0,0.0,0.0,0.0,852,20
0.0,1.0246580412031415e-05,1.7990721176669267e-06,2.0771648463096145e-08,436,20
0.0013675403370254204,0.002092453184779643,0.002382965272259474,0.0013600661869091098,386,20
0.0,0.0,0.0,0.0,345,20
0.0,0.0,0.0,0.0,311,20
0.0015818176996307259,0.001756664279610042,0.0017014683640100932,0.0012235402937443513,875,20
0.0,0.0,0.0,0.0,267,20
7.464866131190467e-07,3.208927346094378e-05,0.0005358813513987666,4.0554081324062134e-05,35,20
7.558567378333357e-08,4.063654818081811e-05,1.2139882874152335e-05,4.6456954852340753e-07,78,20
0.0,0.0,0.0,0.0,604,20
0.0,0.0,0.0,0.0,347,20
3.35340607885948e-07,6.496130443551731e-05,8.648572960314766e-05,8.121759343074439e-07,191,20
0.0019922886092157057,0.002122596936661199,0.002117838237539644,0.0019237641172480545,104,20
0.0017828242426220756,0.0018387510372571976,0.0018461116124038437,0.0013320695748639862,711,20
0.0024353991024386014,0.002550059715090353,0.0025743768885387337,0.0020559795551242923,754,20
0.001740423194654681,0.0019304186543169348,0.0020422686195955037,0.0016373937035458848,101,20
0.0,0.0,0.0,0.0,790,20
2.1170855208553356e-06,3.4945607884838994e-05,2.3118404602070405e-05,1.149143889618125e-06,926,20
0.002025011356388806,0.0021563413164859256,0.0023156073568306543,0.0016333544982113622,94,20
0.003496314230629182,0.0036512309769191867,0.0036252427818550853,0.00310809207678364,228,20
5.576000892160148e-08,0.000990191604193684,2.834907945601502e-06,7.248783560604051e-08,388,20
0.0,0.0,0.0,0.0,828,20
5.716572343223009e-08,2.9568687040937578e-05,8.728307303241012e-06,7.431526003308355e-08,90,20
0.0,0.0,0.0,0.0,672,20
0.0,0.0,0.0,0.0,681,20
0.004402851349980664,0.004551404473657571,0.004574610879683782,0.004001214467645878,248,20
0.0,0.0,0.0,0.0,370,20
4.22476102573793e-06,0.0006195827275515586,0.00038137965895020863,3.2562029215535163e-06,34,20
0.0,1.576982603917358e-06,0.0,9.85901254911794e-09,809,20
0.0,0.0,0.0,0.0,366,20
0.0,0.0,0.0,0.0,238,20
0.0016939933940629459,0.0018949107777609083,0.001904266822556834,0.0017505073494721774,41,20
0.0020902173928375504,0.0021916172425293623,0.002351895262144307,0.0019981079120818114,371,20
0.0,0.0,0.0,0.0,17,20
2.834426566655037e-07,5.809191384380241e-05,0.0003415046175767861,6.864660231184301e-07,435,20
0.006061592863537057,0.006534507382842452,0.006571434424958127,0.005341866723426899,306,20
0.0,0.0,0.0,0.0,552,20
5.814291528577248e-08,3.074956130508357e-05,6.866456619172818e-05,7.558560635843541e-08,233,20
0.0,0.0,0.0,0.0,504,20
0.0,0.0,0.0,0.0,937,20
2.868576284325579e-07,5.8147795594742136e-05,0.00033503332443257243,6.947490899638501e-07,535,20
0.0,2.032345510224243e-05,2.7891155620913034e-06,7.13186769672334e-08,207,20
0.0020919699523862904,0.0022778358039599895,0.0022349117637172787,0.0019976054592435464,339,20
2.9035589219393056e-07,5.888820929941408e-05,6.500980878725116e-05,7.032343214264475e-07,189,20
0.0,1.5658709056576028e-06,0.0,9.78808440128256e-09,676,20
0.0016030745927162193,0.0017200328989194719,0.0018955513263815775,0.0012657197831583116,298,20
0.004475072012259328,0.004610793799374898,0.004630940825414853,0.004041158900705001,709,20
0.0,0.0,0.0,0.0,309,20
0.0,0.0,0.0,0.0,917,20
1.881585674884094e-07,5.3116130398756894e-05,0.00033970336568575605,5.699794694221322e-07,119,20
0.0,1.009004000619918e-05,0.00011155788686991806,2.0459292847109738e-08,159,20
0.0,0.0,0.0,0.0,945,20
7.288618543392879e-08,3.848323424353322e-05,1.722081456730537e-05,4.47949717361881e-07,433,20
3.4975769987871435e-06,6.303037639995611e-05,1.2472392514831261e-05,4.797674531332636e-07,429,20
0.0,0.0,0.0,0.0,919,20
0.0,0.0,0.0,0.0,915,20
0.0,0.0,0.0,0.0,858,20
0.0,0.0,0.0,0.0,737,20
0.0,0.0,0.0,0.0,900,20
0.0,0.0,0.0,0.0,452,20
0.0,0.0,0.0,0.0,625,20
0.0015809672598557172,0.0014665469802917631,0.001876596493474831,0.0012295800761657947,6,20
0.0,0.0,0.0,0.0,486,20
0.0,0.0,0.0,0.0,472,20
0.0,0.0,0.0,0.0,865,20
0.002474384099019059,0.0026624593567684545,0.0027449383801368635,0.002092277481184782,541,20
0.0,0.0003211204272410189,0.0,9.930976144366977e-09,389,20
6.312459593883326e-06,5.43867308180072e-05,0.0003853421139109663,3.2969754827777047e-06,304,20
2.939405328383001e-07,5.8945871712628797e-05,0.0003235549145779571,7.119184681071051e-07,612,20
0.0,0.0,0.0,0.0,194,20
2.9761478949877883e-07,5.904132630458557e-05,0.000316698989304578,7.208307524369614e-07,509,20
0.0,0.0,0.0,0.0,891,20
